ID,LogFC
ENSRNOG00000000033,3.498263965
ENSRNOG00000021166,3.676733153
ENSRNOG00000048951,-5.330020687
ENSRNOG00000019050,7.37198957
ENSRNOG00000061943,-7.7199192
ENSRNOG00000000723,-2.686978224
ENSRNOG00000031090,-2.546399934
ENSRNOG00000014289,2.103972031
ENSRNOG00000012722,-2.720074751
ENSRNOG00000001242,5.108154949
ENSRNOG00000013288,2.38664046
ENSRNOG00000020541,2.057626059
ENSRNOG00000043176,-10.55823246
ENSRNOG00000045626,2.923924261
ENSRNOG00000021713,2.535591761
ENSRNOG00000014399,2.296211986
ENSRNOG00000011296,-2.730941859
ENSRNOG00000060864,7.870496786
ENSRNOG00000022911,3.475807506
ENSRNOG00000046607,4.728265425
ENSRNOG00000045989,-8.486820718
ENSRNOG00000020901,-2.560128852
ENSRNOG00000050210,-2.124242035
ENSRNOG00000028415,-1.863170078
ENSRNOG00000006420,-1.760485991
ENSRNOG00000005668,1.852322191
ENSRNOG00000039776,-2.092903275
ENSRNOG00000019440,1.665888474
ENSRNOG00000054978,1.718071588
ENSRNOG00000017259,1.811118824
ENSRNOG00000008656,-1.618138629
ENSRNOG00000005195,-2.119009462
ENSRNOG00000000989,-1.789869223
ENSRNOG00000025295,-2.058677987
ENSRNOG00000008165,1.944239937
ENSRNOG00000020551,-1.719446099
ENSRNOG00000010993,-1.723722303
ENSRNOG00000061998,-3.022699162
ENSRNOG00000042905,-1.830845053
ENSRNOG00000060821,-2.698524361
ENSRNOG00000042787,-2.476265514
ENSRNOG00000029939,1.820313839
ENSRNOG00000004206,-1.336662077
ENSRNOG00000015948,1.595789357
ENSRNOG00000017932,-1.690576526
ENSRNOG00000012067,1.781659051
ENSRNOG00000030712,-1.765319719
ENSRNOG00000009282,-1.619474312
ENSRNOG00000018517,-1.963333143
ENSRNOG00000013255,-1.570941887
ENSRNOG00000013541,2.691940625
ENSRNOG00000003385,-1.738751264
ENSRNOG00000033921,1.486079154
ENSRNOG00000022800,1.516640813
ENSRNOG00000011222,-1.211762258
ENSRNOG00000023303,-1.587158546
ENSRNOG00000002866,-3.995107177
ENSRNOG00000004628,-1.203661006
ENSRNOG00000016398,-3.191831319
ENSRNOG00000017852,1.650971994
ENSRNOG00000011279,-1.469836091
ENSRNOG00000003567,1.609099094
